Page,Street,Block,Sector,Street Number,Tree No.,Species (raw),Species,Year Planted,Years,Height 1,Height 2,Height 3,Height 4,Diameter 1,Diameter 2,Diameter 3,Diameter 4
34,2nd avenue north,5033-5385,7W-13 15,5217,1,american elm,Ulmus americana,,"1981, 1987",17,26,,,7,,,
34,2nd avenue north,5033-5385,7W-13 15,5217,2,cotoneaster,Cotoneaster,,"1981, 1987",4,4,,,1,,,
34,2nd avenue north,5033-5385,7W-13 15,5217,3,white spruce,Picea glauca,,"1981, 1987",3,13,,,1,,,
34,2nd avenue north,5033-5385,7W-13 15,5217,4,white spruce,Picea glauca,,"1981, 1987",4,11,,,1,,,
34,2nd avenue north,5033-5385,7W-13 15,5271,1,russian almond,Prunus tenella,Colorado spruce,"1981, 1987",13,4,,,6,,,
34,2nd avenue north,5033-5385,7W-13 15,5271,2,apple,Malus,,"1981, 1987",11,14,,,6,,,
34,2nd avenue north,5033-5385,7W-13 15,5271,3,apple,Malus,,"1981, 1987",11,14,,,4,,,
34,2nd avenue north,5033-5385,7W-13 15,5271,4,colorado spruce,Picea pungens,,"1981, 1987",12,18,,,6,,,
34,2nd avenue north,5033-5385,7W-13 15,5309,1,,,,"1981, 1987",,,,,,,,
34,2nd avenue north,5033-5385,7W-13 15,5309,2,,,,"1981, 1987",,,,,,,,
34,2nd avenue north,5033-5385,7W-13 15,5309,3,colorado spruce,Picea pungens,,"1981, 1987",4,12,,,1,,,
34,2nd avenue north,5033-5385,7W-13 15,5309,4,colorado spruce,Picea pungens,,"1981, 1987",5,13,,,2,,,
34,2nd avenue north,5033-5385,7W-13 15,5355,1,green ash,Fraxinus pennsylvanica,June 90,"1981, 1987",13,16,,,6,,,
34,2nd avenue north,5033-5385,7W-13 15,5355,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",14,18,,,6,,,
34,2nd avenue north,5033-5385,7W-13 15,5355,3,,,,"1981, 1987",,,,,,,,
34,2nd avenue north,5033-5385,7W-13 15,5355,4,,,,"1981, 1987",,,,,,,,
34,2nd avenue north,5033-5385,7W-13 15,5355,5,green ash,Fraxinus pennsylvanica,,"1981, 1987",15,17,,,5,,,
34,2nd avenue north,5033-5385,7W-13 15,5355,6,green ash,Fraxinus pennsylvanica,,"1981, 1987",13,15,,,4,,,
34,2nd avenue north,5033-5385,7W-13 15,5371,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",8,11,,,3,,,
34,2nd avenue north,5033-5385,7W-13 15,5371,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,14,,,4,,,
34,2nd avenue north,5033-5385,7W-13 15,5371,3,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,10,,,3,,,
34,2nd avenue north,5033-5385,7W-13 15,5371,4,green ash,Fraxinus pennsylvanica,,"1981, 1987",7,12,,,3,,,
34,2nd avenue north,5033-5385,7W-13 15,5371,5,,,,"1981, 1987",,,,,,,,
34,2nd avenue north,5033-5385,7W-13 15,5371,6,,,,"1981, 1987",,,,,,,,
34,2nd avenue north,5033-5385,7W-13 15,5385,1,cedar,Thuja occidentalis,,"1981, 1987",2,4,,,1,,,
34,2nd avenue north,5033-5385,7W-13 15,5385,2,,,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5034,1,,,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5034,2,,,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5034,3,White Spruce,Picea glauca,Removed,"1981, 1987",6.0,,,,3,,,
35,2nd avenue north,5034-5354,NW-15,5034,4,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",12,18,,,10,,,
35,2nd avenue north,5034-5354,NW-15,5034,5,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",16,17,,,12,,,
35,2nd avenue north,5034-5354,NW-15,5068,1,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",8,16,,,4,,,
35,2nd avenue north,5034-5354,NW-15,5068,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",11,15,,,7,,,
35,2nd avenue north,5034-5354,NW-15,5068,3,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",12,16,,,8,,,
35,2nd avenue north,5034-5354,NW-15,5068,4,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",11,15,,,7,,,
35,2nd avenue north,5034-5354,NW-15,5068,5,American Elm,Ulmus americana,,"1981, 1987",14,20,,,8,,,
35,2nd avenue north,5034-5354,NW-15,5068,6,American Elm,Ulmus americana,,"1981, 1987",16,18,,,14,,,
35,2nd avenue north,5034-5354,NW-15,5128,1,,,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5128,2,Mountain Ash,Sorbus aucuparia,,"1981, 1987",,15,,,,,,
35,2nd avenue north,5034-5354,NW-15,5144,1,White Spruce,Picea glauca,,"1981, 1987",8,16,,,4,,,
35,2nd avenue north,5034-5354,NW-15,5144,2,White Spruce,Picea glauca,,"1981, 1987",,14,,,,,,
35,2nd avenue north,5034-5354,NW-15,5160,1,White Spruce,Picea glauca,,"1981, 1987",2,4,,,2,,,
35,2nd avenue north,5034-5354,NW-15,5160,2,White Spruce,Picea glauca,,"1981, 1987",4,5,,,2,,,
35,2nd avenue north,5034-5354,NW-15,5176,1,Driveway,utility,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5176,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",13,15,,,11,,,
35,2nd avenue north,5034-5354,NW-15,5218,1,Driveway,utility,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5218,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",12,16,,,9,,,
35,2nd avenue north,5034-5354,NW-15,5234,1,Driveway,utility,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5234,2,Green Ash,Fraxinus pennsylvanica,fall 86 (551),"1981, 1987",7.0,,,,2,,,
35,2nd avenue north,5034-5354,NW-15,5250,1,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",16,21,,,15,,,
35,2nd avenue north,5034-5354,NW-15,5250,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",13,17,,,7,,,
35,2nd avenue north,5034-5354,NW-15,5272,1,White Spruce,Picea glauca,,"1981, 1987",,10,,,,,,
35,2nd avenue north,5034-5354,NW-15,5272,2,Driveway,utility,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5302,1,Driveway,utility,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5302,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",14,18,,,12,,,
35,2nd avenue north,5034-5354,NW-15,5306,1,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",12,17,,,10,,,
35,2nd avenue north,5034-5354,NW-15,5306,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",16,18,,,14,,,
35,2nd avenue north,5034-5354,NW-15,5310,1,Driveway,utility,,"1981, 1987",,,,,,,,
35,2nd avenue north,5034-5354,NW-15,5310,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",15,17,,,11,,,
35,2nd avenue north,5034-5354,NW-15,5318,1,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",17,18,,,16,,,
35,2nd avenue north,5034-5354,NW-15,5318,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",12,16,,,8,,,
35,2nd avenue north,5034-5354,NW-15,5326,1,Mountain Ash,Sorbus aucuparia,,"1981, 1987",,10,,,,,,
35,2nd avenue north,5034-5354,NW-15,5326,2,Colorado Spruce,Picea pungens,,"1981, 1987",3,12,,,2,,,
35,2nd avenue north,5034-5354,NW-15,5326,3,Cotoneaster,Cotoneaster,,"1981, 1987",2,4,,,1,,,
35,2nd avenue north,5034-5354,NW-15,5354,1,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",17,19,,,10,,,
35,2nd avenue north,5034-5354,NW-15,5354,2,Green Ash,Fraxinus pennsylvanica,,"1981, 1987",15,17,,,9,,,
36,2nd avenue north,4301-4735,14 NW 14,4301,1,,,,"1981, 1984",,,,,,,,
36,2nd avenue north,4301-4735,14 NW 14,4301,2,,,,"1981, 1984",,,,,,,,
36,2nd avenue north,4301-4735,14 NW 14,4301,3,Caragana,Caragana arborescens,,"1981, 1984",7,6,,,2,,,
36,2nd avenue north,4301-4735,14 NW 14,4301,4,Caragana,Caragana arborescens,,"1981, 1984",6,5,,,2,,,
36,2nd avenue north,4301-4735,14 NW 14,4301,5,,,,"1981, 1984",,,,,,,,
36,2nd avenue north,4301-4735,14 NW 14,4405,1,,,,"1981, 1984",,,,,,,,
36,2nd avenue north,4301-4735,14 NW 14,4405,2,,,,"1981, 1984",,,,,,,,
36,2nd avenue north,4301-4735,14 NW 14,4405,3,,,,"1981, 1984",,,,,,,,
36,2nd avenue north,4301-4735,14 NW 14,4405,4,,,,"1981, 1984",,,,,,,,
36,2nd avenue north,4301-4735,14 NW 14,4405,5,,,,"1981, 1984",,,,,,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,1,Green Ash,Fraxinus pennsylvanica,,"1981, 1984",22,25,,,14,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,2,manitoba maple,Acer negundo,,"1981, 1984",16,18,,,15,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,3,manitoba maple,Acer negundo,,"1981, 1984",18,18,,,17,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,4,manitoba maple,Acer negundo,,"1981, 1984",21,22,,,19,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,5,manitoba maple,Acer negundo,,"1981, 1984",22,22,,,17,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,6,manitoba maple,Acer negundo,,"1981, 1984",19,21,,,14,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,7,manitoba maple,Acer negundo,,"1981, 1984",21,21,,,16,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,8,manitoba maple,Acer negundo,,"1981, 1984",19,20,,,15,,,
36,2nd avenue north,4301-4735,14 NW 14,4735,9,manitoba maple,Acer negundo,,"1981, 1984",23,23,,,16,,,
37,2nd avenue north,4230 - 4458,NW 14,4230,1,manitoba maple,Acer negundo,,"1981, 1987",6,10,,,3,,,
37,2nd avenue north,4230 - 4458,NW 14,4230,2,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4230,3,manchurian elm,Ulmus laciniata,,"1981, 1987",4,14,,,1,,,
37,2nd avenue north,4230 - 4458,NW 14,4238,1,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4238,2,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4246,1,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4248,1,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4300,1,colorado spruce,Picea pungens,,"1981, 1987",18,23,,,13,,,
37,2nd avenue north,4230 - 4458,NW 14,4300,2,white spruce,Picea glauca,,"1981, 1987",20,23,,,13,,,
37,2nd avenue north,4230 - 4458,NW 14,4300,3,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4312,1,driveway,utility,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4312,2,white spruce,Picea glauca,,"1981, 1987",12,21,,,7,,,
37,2nd avenue north,4230 - 4458,NW 14,4316,1,driveway,utility,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4316,2,white spruce,Picea glauca,,"1981, 1987",10,21,,,5,,,
37,2nd avenue north,4230 - 4458,NW 14,4318,1,driveway,utility,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4318,2,white spruce,Picea glauca,,"1981, 1987",24,26,,,19,,,
37,2nd avenue north,4230 - 4458,NW 14,4320,1,white spruce,Picea glauca,,"1981, 1987",15,22,,,7,,,
37,2nd avenue north,4230 - 4458,NW 14,4320,2,white spruce,Picea glauca,,"1981, 1987",15,21,,,8,,,
37,2nd avenue north,4230 - 4458,NW 14,4320,3,white spruce,Picea glauca,,"1981, 1987",14,20,,,6,,,
37,2nd avenue north,4230 - 4458,NW 14,4324,1,white spruce,Picea glauca,,"1981, 1987",9,17,,,6,,,
37,2nd avenue north,4230 - 4458,NW 14,4324,2,white spruce,Picea glauca,,"1981, 1987",19,23,,,9,,,
37,2nd avenue north,4230 - 4458,NW 14,4360,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",14,20,,,7,,,
37,2nd avenue north,4230 - 4458,NW 14,4362,1,cotoneaster,Cotoneaster,,"1981, 1987",4,5,,,1,,,
37,2nd avenue north,4230 - 4458,NW 14,4362,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",16,21,,,6,,,
37,2nd avenue north,4230 - 4458,NW 14,4402,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",22,25,,,14,,,
37,2nd avenue north,4230 - 4458,NW 14,4402,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",20,23,,,10,,,
37,2nd avenue north,4230 - 4458,NW 14,4402,3,american elm,Ulmus americana,,"1981, 1987",23,25,,,24,,,
37,2nd avenue north,4230 - 4458,NW 14,4408,1,driveway,utility,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4408,2,choke cherry,Prunus virginiana,,"1981, 1987",11,20,,,4,,,
37,2nd avenue north,4230 - 4458,NW 14,4412,1,driveway,utility,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4412,2,R wood,Cornus sericea,,"1981, 1987",7,,,,3,,,
37,2nd avenue north,4230 - 4458,NW 14,4416,1,white spruce,Picea glauca,,"1981, 1987",20,20,,,9,,,
37,2nd avenue north,4230 - 4458,NW 14,4416,2,white spruce,Picea glauca,,"1981, 1987",22,23,,,15,,,
37,2nd avenue north,4230 - 4458,NW 14,4420,1,driveway,utility,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4420,2,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4426,1,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4430,1,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4436,1,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4436,2,,,,"1981, 1987",,,,,,,,
37,2nd avenue north,4230 - 4458,NW 14,4458,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",13,17,,,6,,,
37,2nd avenue north,4230 - 4458,NW 14,4458,2,,,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4460,1,green ash,Fraxinus pennsylvanica,,"1981, 1987",15,18,,,6,,,
38,2nd avenue north,4460-4800,NW-14,4500,1,colorado spruce,Picea pungens,,"1981, 1987",24,26,,,16,,,
38,2nd avenue north,4460-4800,NW-14,4500,2,colorado spruce,Picea pungens,,"1981, 1987",25,25,,,23,,,
38,2nd avenue north,4460-4800,NW-14,4506,1,lilac,Syringa vulgaris,,"1981, 1987",7,8,,,3,,,
38,2nd avenue north,4460-4800,NW-14,4506,2,driveway,utility,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4510,1,colorado spruce,Picea pungens,,"1981, 1987",26,26,,,18,,,
38,2nd avenue north,4460-4800,NW-14,4510,2,colorado spruce,Picea pungens,,"1981, 1987",25,25,,,18,,,
38,2nd avenue north,4460-4800,NW-14,4514,1,colorado spruce,Picea pungens,,"1981, 1987",25,26,,,22,,,
38,2nd avenue north,4460-4800,NW-14,4514,2,colorado spruce,Picea pungens,,"1981, 1987",25,26,,,23,,,
38,2nd avenue north,4460-4800,NW-14,4516,1,,,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4516,2,driveway,utility,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4518,1,driveway,utility,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4518,2,,,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4520,1,russian almond,Prunus tenella,,"1981, 1987",6,10,,,1,,,
38,2nd avenue north,4460-4800,NW-14,4520,2,manitoba maple,Acer negundo,,"1981, 1987",12,20,,,4,,,
38,2nd avenue north,4460-4800,NW-14,4590,1,,,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4590,2,choke cherry,Prunus virginiana,,"1981, 1987",6,8,,,2,,,
38,2nd avenue north,4460-4800,NW-14,4592,1,white spruce,Picea glauca,,"1981, 1987",11,13,,,7,,,
38,2nd avenue north,4460-4800,NW-14,4592,2,Bus stop,utility,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4596,1,russian olive,Elaeagnus angustifolia,,"1981, 1987",6,16,,,2,,,
38,2nd avenue north,4460-4800,NW-14,4596,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",10,16,,,4,,,
38,2nd avenue north,4460-4800,NW-14,4600,1,REMOVED,removed,,"1981, 1987",16,,,,10,,,
38,2nd avenue north,4460-4800,NW-14,4606,1,driveway,utility,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4608,1,colorado spruce,Picea pungens,,"1981, 1987",15,21,,,10,,,
38,2nd avenue north,4460-4800,NW-14,4608,2,colorado spruce,Picea pungens,,"1981, 1987",14,20,,,8,,,
38,2nd avenue north,4460-4800,NW-14,4610,1,,,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4616,1,REMOVED,removed,,"1981, 1987",18,,,,6,,,
38,2nd avenue north,4460-4800,NW-14,4620,1,driveway,utility,,"1981, 1987",,,,,,,,
38,2nd avenue north,4460-4800,NW-14,4700,1,white spruce,Picea glauca,,"1981, 1987",3,16,,,1,,,
38,2nd avenue north,4460-4800,NW-14,4700,2,white spruce,Picea glauca,,"1981, 1987",12,20,,,7,,,
38,2nd avenue north,4460-4800,NW-14,4700,3,white spruce,Picea glauca,,"1981, 1987",18,21,,,10,,,
38,2nd avenue north,4460-4800,NW-14,4700,4,lilac,Syringa vulgaris,,"1981, 1987",6,5,,,2,,,
38,2nd avenue north,4460-4800,NW-14,4720,1,manitoba maple,Acer negundo,,"1981, 1987",10,17,,,3,,,
38,2nd avenue north,4460-4800,NW-14,4720,2,green ash,Fraxinus pennsylvanica,,"1981, 1987",18,21,,,9,,,
38,2nd avenue north,4460-4800,NW-14,4720,3,manitoba maple,Acer negundo,,"1981, 1987",17,22,,,9,,,
38,2nd avenue north,4460-4800,NW-14,4720,4,choke cherry,Prunus virginiana,,"1981, 1987",16,16,,,5,,,
38,2nd avenue north,4460-4800,NW-14,4720,5,white spruce,Picea glauca,,"1981, 1987",3,4,,,1,,,
38,2nd avenue north,4460-4800,NW-14,4800,1,white spruce,Picea glauca,,"1981, 1987",19,24,,,15,,,
38,2nd avenue north,4460-4800,NW-14,4800,2,REMOVED,removed,,"1981, 1987",20,,,,12,,,
38,2nd avenue north,4460-4800,NW-14,4800,3,american elm,Ulmus americana,,"1981, 1987",22,25,,,40,,,
38,2nd avenue north,4460-4800,NW-14,4800,4,cotoneaster,Cotoneaster,,"1981, 1987",3,3,,,1,,,
39,2nd avenue north,4902-4936,14,4902,1,,,,"1981, 1987",,,,,,,,
39,2nd avenue north,4902-4936,14,4902,2,,,,"1981, 1987",,,,,,,,
39,2nd avenue north,4902-4936,14,4902,3,american elm,Ulmus americana,,"1981, 1987",24,24,,,13,,,
39,2nd avenue north,4902-4936,14,4902,4,american elm,Ulmus americana,,"1981, 1987",18,21,,,12,,,
39,2nd avenue north,4902-4936,14,4902,5,american elm,Ulmus americana,,"1981, 1987",17,21,,,13,,,
39,2nd avenue north,4902-4936,14,4902,6,lilac,Syringa vulgaris,,"1981, 1987",4,6,,,1,,,
39,2nd avenue north,4902-4936,14,4936,1,driveway,utility,,"1981, 1987",,,,,,,,
39,2nd avenue north,4902-4936,14,4936,2,caragana,Caragana arborescens,,"1981, 1987",5,5,,,2,,,
39,2nd avenue north,4902-4936,14,4936,3,caragana,Caragana arborescens,,"1981, 1987",5,5,,,2,,,
39,2nd avenue north,4902-4936,14,4936,4,REMOVED,removed,1982,"1981, 1987",9,,,,4,,,
39,2nd avenue north,4902-4936,14,4936,5,REMOVED,removed,1982,"1981, 1987",8,,,,3,,,
40,2nd avenue north,2920-3010,5,2920,1,manitoba maple,Acer negundo,,"1981, 1987",23,23,,,18,,,
40,2nd avenue north,2920-3010,5,2920,2,manitoba maple,Acer negundo,,"1981, 1987",15,23,,,12,,,
40,2nd avenue north,2920-3010,5,2920,3,Colorado Spruce,Picea pungens,,"1981, 1987",,7,,,,,,
40,2nd avenue north,2920-3010,5,2920,4,Willow,Salix,,"1981, 1987",8,7,,,1,,,
40,2nd avenue north,2920-3010,5,2920,5,manchurian Elm,Ulmus laciniata,Colorado Spruce,"1981, 1987",16,2,,,11,,,
40,2nd avenue north,2920-3010,5,2920,6,american Elm,Ulmus americana,,"1981, 1987",24,26,,,26,,,
40,2nd avenue north,2920-3010,5,3010,1,Colorado Spruce,Picea pungens,,"1981, 1987",17,24,,,12,,,
40,2nd avenue north,2920-3010,5,3010,2,Colorado Spruce,Picea pungens,,"1981, 1987",15,24,,,10,,,
40,2nd avenue north,2920-3010,5,3010,3,Paper Birch,Betula papyrifera,,"1981, 1987",19,23,,,13,,,
40,2nd avenue north,2920-3010,5,3010,4,Juniper,Juniperus,All,"1981, 1987",4,,,,1,,,
40,2nd avenue north,2920-3010,5,3010,5,apple,Malus,Removed,"1981, 1987",9,,,,2,,,
40,2nd avenue north,2920-3010,5,3010,6,Russian almond,Prunus tenella,No Room,"1981, 1987",8,,,,2,,,
42,2nd avenue north,1110 - 1236,32 NW,1236,1,american elm,Ulmus americana,Removed,1981,7,,,,3,,,
42,2nd avenue north,1110 - 1236,32 NW,1236,2,no room,no room,,1981,,,,,,,,
42,2nd avenue north,1110 - 1236,32 NW,1236,3,american elm,Ulmus americana,dead,1981,6,,,,2,,,
42,2nd avenue north,1110 - 1236,32 NW,1236,4,american elm,Ulmus americana,dead,1981,7,,,,3,,,
43,2nd avenue north,1233-1401,NE 32,1235,1,no room,no room,,"1977, 1981, 1981",,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1235,2,no room,no room,,"1977, 1981, 1981",,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1235,3,no room,no room,,"1977, 1981, 1981",,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1235,4,american elm,Ulmus americana,,"1977, 1981, 1981",10,10,,,,,,
43,2nd avenue north,1233-1401,NE 32,1235,5,no room,no room,,"1977, 1981, 1981",,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1235,6,no room,no room,,"1977, 1981, 1981",,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1235,7,fire hydrant,utility,,"1977, 1981, 1981",,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1235,8,american elm,Ulmus americana,Removed,"1977, 1981, 1981",7,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1401,1,manitoba maple,Acer negundo,dead,"1977, 1981, 1981",23,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1401,2,Lilac,Syringa vulgaris,,"1977, 1981, 1981",6,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1401,3,Lilac,Syringa vulgaris,,"1977, 1981, 1981",6,,,,,,,
43,2nd avenue north,1233-1401,NE 32,1401,4,Honeysuckle,Lonicera,,"1977, 1981, 1981",10,10,,,,,,
43,2nd avenue north,1233-1401,NE 32,1401,5,manitoba maple,Acer negundo,,"1977, 1981, 1981",21,20,,,,,,
44,2nd ave north,2220-2220,32 NE 3,2220,1,white spruce,Picea glauca,,"1981, 1987",6,12,,,3,12,,
44,2nd ave north,2220-2220,32 NE 3,2220,2,white spruce,Picea glauca,,"1981, 1987",20,22,,,6,15,,
44,2nd ave north,2220-2220,32 NE 3,2220,3,white spruce,Picea glauca,,"1981, 1987",20,22,,,6,15,,
44,2nd ave north,2220-2220,32 NE 3,2220,4,white spruce,Picea glauca,,"1981, 1987",30,24,,,8,15,,
45,2nd avenue,2283 - 2402,30 NE 4,2283,1,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,2283,2,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,2283,3,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,2283,4,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,2307,1,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,2307,2,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,230,1,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,230,2,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,2402,1,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,2402,2,,,,1981,,,,,,,,
45,2nd avenue,2283 - 2402,30 NE 4,2402,3,,,,1981,,,,,,,,
46,2nd avenue,4440-5300,12 W 18,4440,1,american Elm,Ulmus americana,,"1981, 1987",23,23,,,26,,,
46,2nd avenue,4440-5300,12 W 18,4440,2,,,,"1981, 1987",,,,,,,,
46,2nd avenue,4440-5300,12 W 18,4440,3,mountain ash,Sorbus aucuparia,,"1981, 1987",11,12,,,6,,,
46,2nd avenue,4440-5300,12 W 18,4440,4,american Elm,Ulmus americana,,"1981, 1987",22,25,,,13,,,
46,2nd avenue,4440-5300,12 W 18,4440,5,american Elm,Ulmus americana,,"1981, 1987",19,24,,,12,,,
46,2nd avenue,4440-5300,12 W 18,4540,1,white spruce,Picea glauca,,"1981, 1987",10,10,,,15,,,
46,2nd avenue,4440-5300,12 W 18,4540,2,white spruce,Picea glauca,,"1981, 1987",10,10,,,18,,,
46,2nd avenue,4440-5300,12 W 18,4540,3,white spruce,Picea glauca,,"1981, 1987",10,10,,,18,,,
46,2nd avenue,4440-5300,12 W 18,4540,4,white spruce,Picea glauca,,"1981, 1987",10,10,,,17,,,
46,2nd avenue,4440-5300,12 W 18,4540,5,white spruce,Picea glauca,,"1981, 1987",10,10,,,14,,,
46,2nd avenue,4440-5300,12 W 18,4550,1,,,,"1981, 1987",,,,,,,,
46,2nd avenue,4440-5300,12 W 18,4550,2,Colorado Spruce,Picea pungens,,"1981, 1987",19,24,,,13,,,
46,2nd avenue,4440-5300,12 W 18,4550,3,Driveway,utility,,"1981, 1987",,,,,,,,
46,2nd avenue,4440-5300,12 W 18,4550,4,Colorado Spruce,Picea pungens,,"1981, 1987",17,23,,,12,,,
46,2nd avenue,4440-5300,12 W 18,4550,5,Colorado Spruce,Picea pungens,,"1981, 1987",21,25,,,15,,,
46,2nd avenue,4440-5300,12 W 18,4550,6,apple,Malus,,"1981, 1987",10,13,,,4,,,
46,2nd avenue,4440-5300,12 W 18,4840,1,apple,Malus,,"1981, 1987",13,14,,,6,,,
46,2nd avenue,4440-5300,12 W 18,4840,2,mountain ash,Sorbus aucuparia,,"1981, 1987",15,16,,,7,,,
46,2nd avenue,4440-5300,12 W 18,4840,3,mountain ash,Sorbus aucuparia,,"1981, 1987",17,18,,,7,,,
46,2nd avenue,4440-5300,12 W 18,4840,4,white spruce green ash,error,,"1981, 1987",19,12,,,10,,,
46,2nd avenue,4440-5300,12 W 18,4840,5,apple,Malus,,"1981, 1987",11,14,,,7,,,
46,2nd avenue,4440-5300,12 W 18,4840,6,white spruce,Picea glauca,removed,"1981, 1987",6,0,,,3,,,
