common name,species,genus,family
beaked willow,Salix bebbiana,,
shining willow,Salix lucida,,
laurel willow,Salix pentandra,,
laurel leaf willow,Salix pentandra,,
elderberry,Sambucus,,
elder,Sambucus,,
red berried elder,Sambucus racemosa,,
buffaloberry,Shepherdia,,
buffalo berry,Shepherdia argentea,,
m. ash,Sorbus aucuparia,,
mnt ash,Sorbus aucuparia,,
mnt. ash,Sorbus aucuparia,,
moun. ash,Sorbus aucuparia,,
mountain ash,Sorbus aucuparia,,
m.a,Sorbus aucuparia,,
mount ash,Sorbus aucuparia,,
spirea,Spiraea,,
greenash dead,status error,,
greenash removed,status error,,
crabapple removed,status error,,
chokecherry removed,status error,,
weeping willow removed,status error,,
american elm dead,status error,,
am elm removed,status error,,
patmore ash (246),status error,,
patmore ash fall 92,status error,,
no room green ash,status error,,
cotoneaster driveway,status error,,
am. elm fall 84,status error,,
green ash 67; fall 92,status error,,
green ash 67i fall 92,status error,,
green ash gone,status error,,
green ash removed,status error,,
honeysuckle removed,status error,,
paper birch removed,status error,,
potentilla no room,status error,,
american elm on borden side,status error,,
american elm on edgar street (2600 block),status error,,
cotoneaster no tree,status error,,
american elm (p?),Ulmus americana,,
green ash (d?),Fraxinus pennsylvanica,,
root birch,status error,,
white spruce pvt,status error,,
soft kernel elder removed,status error,,
dead gr. ash,status error,,
green ash dead,status error,,
vacant no room,status error,,
lilac,Syringa vulgaris,,
ceder,Thuja occidentalis,,
cedar,Thuja occidentalis,,
linden,Tilia,,
american basswood,Tilia americana,,
am linden,Tilia americana,,
basswood,Tilia americana,,
lit. linden,Tilia cordata,,
l.l. linden,Tilia cordata,,
little leaf linden,Tilia cordata,,
greenspire linden,Tilia cordata 'Greenspire',,
elm,Ulmus,,
manitoba elm,Ulmus,,
am elm,Ulmus americana,,
am. elm,Ulmus americana,,
amer. elm,Ulmus americana,,
american elm,Ulmus americana,,
amer elm,Ulmus americana,,
am. elm/linwood,Ulmus americana,,
manchurian elm,Ulmus laciniata,,
machurian elm,Ulmus laciniata,,
manch,Ulmus laciniata,,
man. elm,Ulmus laciniata,,
manch elm,Ulmus laciniata,,
manthurian elm,Ulmus laciniata,,
elm manchurian,Ulmus laciniata,,
siberian elm,Ulmus pumila,,
vacant,vacant,,
vac,vacant,,
weigela,Weigela florida,,
no room,no room,,
argyle park housing co-op argyle st. n,utility,,
argyle st north shopping centre,utility,,
lamps,utility,,
bus stop,utility,,
driveby,utility,,
driveway,utility,,
fence,utility,,
fire hydrant,utility,,
guideline,utility,,
light,utility,,
light pole,utility,,
light standard,utility,,
pole,utility,,
sidewalk,utility,,
sign,utility,,
standard,utility,,
street light,utility,,
traffic light,utility,,
traffic sign,utility,,
water line,utility,,
waterline,utility,,
bus stop sign,utility,,
hydrant,utility,,
street lite,utility,,
telephone pole,utility,,
guide line,utility,,
lampost,utility,,
lamppost,utility,,
manhole,utility,,
parking lot entrance,utility,,
right standard,utility,,
sewer,utility,,
stones,utility,,
wishing well,utility,,
lamp,utility,,
address,utility,,
no,error,,
such,error,,
